Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional,Temporada,id,Player_Temporada,Salario
290,Frank Ntilikina,20,NYK,PG,43,16,904,6.0,0.417,0.408,0.106,1.4,8.9,5.0,19.5,1.6,1.3,15.9,16.6,-1.3,0.4,-0.8,-0.045,-5.2,-0.8,-6.0,-0.9,0,ntilila01,2018,1628373,Frank Ntilikina - 2018,4155720.0
298,Patrick Patterson,29,OKC,PF,63,5,861,8.1,0.493,0.626,0.137,4.9,13.0,8.8,4.6,0.9,1.3,8.7,12.0,0.2,0.9,1.1,0.064,-2.0,-0.4,-2.5,-0.1,0,pattepa01,2018,202335,Patrick Patterson - 2018,5451600.0
302,Aron Baynes,32,BOS,C,51,18,821,14.1,0.567,0.274,0.278,11.4,19.8,15.6,9.3,0.7,3.7,13.8,15.3,1.3,1.1,2.3,0.136,-1.8,0.3,-1.5,0.1,0,baynear01,2018,203382,Aron Baynes - 2018,5193600.0
311,Luke Kornet,23,NYK,C,46,18,784,14.8,0.531,0.682,0.163,3.6,14.6,9.0,10.5,1.7,4.5,7.6,17.9,0.6,0.7,1.4,0.083,1.4,0.7,2.0,0.8,0,kornelu01,2018,1628436,Luke Kornet - 2018,1619260.0
313,Lance Thomas,30,NYK,PF,46,17,783,6.4,0.482,0.401,0.183,2.7,13.1,7.8,5.0,1.0,0.8,10.1,12.9,-0.3,0.3,0.1,0.004,-4.8,-0.9,-5.7,-0.7,0,thomala01,2018,202498,Lance Thomas - 2018,7119650.0
330,Abdel Nader,25,OKC,SF,61,1,694,8.8,0.522,0.465,0.167,2.0,15.7,8.6,3.8,1.3,1.5,10.1,15.1,0.0,0.9,0.9,0.062,-3.6,0.3,-3.2,-0.2,0,naderab01,2018,1627846,Abdel Nader - 2018,1378242.0
335,Timothé Luwawu-Cabarrot,23,2TM,SF,50,7,669,8.0,0.489,0.532,0.188,1.7,14.1,7.8,5.5,1.4,1.0,8.2,16.6,-0.3,0.5,0.2,0.015,-4.1,-1.1,-5.2,-0.5,0,luwawti01,2018,1627789,Timothé Luwawu-Cabarrot - 2018,
335,Timothé Luwawu-Cabarrot,23,OKC,SF,21,1,123,3.4,0.383,0.512,0.14,3.3,12.1,7.6,4.2,1.5,0.7,9.9,16.8,-0.2,0.1,-0.1,-0.033,-7.0,-0.1,-7.1,-0.2,0,luwawti01,2018,1627789,Timothé Luwawu-Cabarrot - 2018,
335,Timothé Luwawu-Cabarrot,23,CHI,SF,29,6,546,9.0,0.515,0.537,0.2,1.4,14.5,7.9,5.8,1.3,1.1,7.8,16.5,0.0,0.3,0.3,0.026,-3.4,-1.3,-4.7,-0.4,0,luwawti01,2018,1627789,Timothé Luwawu-Cabarrot - 2018,
337,Jerryd Bayless,30,MIN,PG,34,6,657,8.5,0.431,0.426,0.122,1.8,8.4,5.0,24.6,1.3,0.3,11.7,17.6,-0.2,0.2,0.0,-0.003,-2.9,-1.7,-4.6,-0.4,0,bayleje01,2018,201573,Jerryd Bayless - 2018,8575916.0
343,Isaiah Canaan,27,3TM,PG,30,16,629,8.0,0.518,0.585,0.146,1.0,9.2,5.1,18.2,1.1,0.3,16.7,14.2,0.0,0.1,0.1,0.008,-2.7,-1.4,-4.1,-0.3,0,canaais01,2018,203477,Isaiah Canaan - 2018,744.0
343,Isaiah Canaan,27,PHO,PG,19,15,503,7.3,0.515,0.558,0.155,1.1,9.8,5.4,17.0,1.1,0.0,17.4,14.2,-0.1,0.0,-0.1,-0.007,-3.3,-1.4,-4.6,-0.3,0,canaais01,2018,203477,Isaiah Canaan - 2018,744.0
343,Isaiah Canaan,27,MIN,PG,7,1,95,12.3,0.536,0.655,0.138,0.0,5.7,2.8,26.9,1.0,0.9,11.5,15.4,0.1,0.0,0.2,0.079,0.7,-2.0,-1.3,0.0,0,canaais01,2018,203477,Isaiah Canaan - 2018,744.0
343,Isaiah Canaan,27,MIL,PG,4,0,31,5.2,0.5,0.833,0.0,3.5,9.3,6.6,11.6,0.0,2.7,25.0,10.8,0.0,0.0,0.0,0.03,-3.3,-0.7,-4.0,0.0,0,canaais01,2018,203477,Isaiah Canaan - 2018,744.0
348,Semi Ojeleye,24,BOS,PF,56,3,594,8.5,0.531,0.563,0.247,4.3,11.2,7.7,5.1,0.8,0.6,9.8,14.1,0.2,0.5,0.7,0.054,-2.8,-1.2,-4.0,-0.3,0,ojelese01,2018,1628400,Semi Ojeleye - 2018,1378242.0
349,Álex Abrines,25,OKC,SG,31,2,588,6.3,0.507,0.809,0.083,0.9,7.8,4.2,4.3,1.3,0.9,7.9,12.2,0.1,0.6,0.6,0.053,-3.7,0.4,-3.3,-0.2,0,abrinal01,2018,1631476,Álex Abrines - 2018,
356,Hamidou Diallo,20,OKC,SG,51,3,526,10.1,0.497,0.145,0.358,7.2,12.0,9.5,4.4,1.9,1.6,10.7,16.6,0.1,0.7,0.8,0.069,-4.4,0.2,-4.2,-0.3,0,diallha01,2018,1628977,Hamidou Diallo - 2018,838.0
360,Keita Bates-Diop,23,MIN,SF,30,3,503,9.6,0.489,0.366,0.197,3.4,14.4,8.8,4.6,1.7,2.4,8.3,14.1,0.0,0.4,0.3,0.032,-2.8,-0.6,-3.4,-0.2,0,bateske01,2018,1628966,Keita Bates-Diop - 2018,838.0
