"Temporada","Jugador","Salario","Salario Actual Ajustado a la Inflación"
"2018/19 ","Omri Casspi","2,176,260","2,713,318"
"2018/19 ","Juan Hernangomez","2,166,360","2,700,975"
"2018/19 ","Quincy Pondexter","2,165,481","2,699,879"
"2018/19 ","Jonas Jerebko","2,165,481","2,699,879"
"2018/19 ","Josh Okogie","2,163,600","2,697,534"
"2018/19 ","Nik Stauskas","2,161,886","2,695,396"
"2018/19 ","Terrance Ferguson","2,118,840","2,641,728"
"2018/19 ","Raul Neto","2,100,000","2,618,239"
"2018/19 ","Salah Mejri","2,098,196","2,615,990"
"2018/19 ","Grayson Allen","2,076,960","2,589,513"
"2018/19 ","Jarrett Allen","2,034,120","2,536,101"
"2018/19 ","Isaiah Thomas","2,029,463","2,530,295"
"2018/19 ","Spencer Hawes","2,007,058","2,502,361"
"2018/19 ","Cole Aldrich","2,000,000","2,493,561"
"2018/19 ","Torrey Craig","2,000,000","2,493,561"
"2018/19 ","Chandler Hutchison","1,991,520","2,482,988"
"2018/19 ","OG Anunoby","1,952,760","2,434,663"
"2018/19 ","Ante Zizic","1,952,760","2,434,663"
"2018/19 ","Shabazz Napier","1,942,422","2,421,774"
"2018/19 ","Aaron Holiday","1,914,480","2,386,936"
"2018/19 ","Timothe Luwawu","1,880,268","2,344,281"
"2018/19 ","Tyler Lydon","1,874,640","2,337,264"
"2018/19 ","Anfernee Simons","1,837,800","2,291,333"
"2018/19 ","Tim Frazier","1,832,107","2,284,234"
"2018/19 ","Trey Burke","1,795,015","2,237,989"
"2018/19 ","Malik Beasley","1,773,840","2,211,589"
"2018/19 ","Moritz Wagner","1,764,240","2,199,620"
"2018/19 ","Nerlens Noel","1,757,429","2,191,128"
"2018/19 ","Ian Clark","1,757,429","2,191,128"
"2018/19 ","Deyonta Davis","1,741,503","2,171,271"
"2018/19 ","Caleb Swanigan","1,740,000","2,169,398"
"2018/19 ","Furkan Korkmaz","1,740,000","2,169,398"
"2018/19 ","Landry Shamet","1,705,920","2,126,907"
"2018/19 ","Caris LeVert","1,702,800","2,123,018"
"2018/19 ","Jonah Bolden","1,690,000","2,107,059"
