game_id,league_id,team_id_home,team_abbreviation_home,team_city_home,pts_paint_home,pts_2nd_chance_home,pts_fb_home,largest_lead_home,lead_changes,times_tied,team_turnovers_home,total_turnovers_home,team_rebounds_home,pts_off_to_home,team_id_away,team_abbreviation_away,team_city_away,pts_paint_away,pts_2nd_chance_away,pts_fb_away,largest_lead_away,team_turnovers_away,total_turnovers_away,team_rebounds_away,pts_off_to_away
22000778,0,1610612738,BOS,Boston,42,20,14,7,17,8,3,20,8,24,1610612752,NYK,New York,32,7,14,7,0,14,8,14
22000782,0,1610612743,DEN,Denver,52,17,18,20,14,13,2,19,11,13,1610612759,SAS,San Antonio,54,18,4,10,1,15,11,17
22000776,0,1610612750,MIN,Minnesota,68,19,19,3,5,6,1,13,12,19,1610612754,IND,Indiana,66,14,27,22,0,13,3,24
22000781,0,1610612760,OKC,Oklahoma City,40,4,7,4,6,5,0,22,11,24,1610612766,CHA,Charlotte,50,22,17,17,1,12,9,12
22000785,0,1610612760,OKC,Oklahoma City,50,11,10,8,13,8,3,18,4,24,1610612739,CLE,Cleveland,58,15,13,29,0,7,11,8
22000797,0,1610612759,SAS,San Antonio,62,11,16,0,0,0,0,9,5,12,1610612743,DEN,Denver,50,8,17,18,0,18,3,30
22000792,0,1610612738,BOS,Boston,48,15,5,11,8,6,1,21,5,24,1610612750,MIN,Minnesota,56,9,17,17,1,15,7,21
22000793,0,1610612752,NYK,New York,54,15,9,5,3,4,2,14,10,18,1610612763,MEM,Memphis,64,13,12,15,0,14,14,15
22000199,0,1610612755,PHI,Philadelphia,46,12,15,24,0,1,1,10,6,9,1610612760,OKC,Oklahoma City,60,8,4,0,1,23,8,32
22000812,0,1610612750,MIN,Minnesota,38,13,6,13,1,1,1,15,10,11,1610612741,CHI,Chicago,54,13,15,4,1,14,7,20
22000809,0,1610612752,NYK,New York,48,17,8,18,4,2,0,13,10,14,1610612761,TOR,Toronto,40,6,7,4,2,17,11,25
22000806,0,1610612738,BOS,Boston,56,21,13,18,1,3,2,11,8,4,1610612743,DEN,Denver,46,13,8,14,0,9,4,11
22000815,0,1610612747,LAL,Los Angeles,38,10,11,4,9,7,1,25,14,29,1610612752,NYK,New York,54,20,4,17,0,15,7,18
22000821,0,1610612743,DEN,Denver,54,10,18,8,8,6,1,20,10,21,1610612744,GSW,Golden State,36,2,19,18,0,16,5,23
22000826,0,1610612760,OKC,Oklahoma City,36,16,9,17,7,4,2,14,10,14,1610612762,UTA,Utah,32,10,15,25,2,14,7,18
22000828,0,1610612738,BOS,Boston,50,8,11,8,24,8,1,10,7,13,1610612757,POR,Portland,28,17,15,9,0,14,8,24
22000817,0,1610612750,MIN,Minnesota,24,16,13,0,0,1,0,14,8,22,1610612751,BKN,Brooklyn,48,16,21,45,1,19,6,17
22000834,0,1610612750,MIN,Minnesota,34,9,7,0,0,0,0,16,9,12,1610612749,MIL,Milwaukee,38,15,18,30,0,16,15,15
22000835,0,1610612752,NYK,New York,36,12,17,11,12,11,0,6,4,8,1610612740,NOP,New Orleans,56,12,14,5,0,9,6,7
22000838,0,1610612743,DEN,Denver,46,14,7,22,14,6,1,11,11,12,1610612748,MIA,Miami,48,8,17,6,0,8,3,7
22000842,0,1610612738,BOS,Boston,56,11,10,27,0,0,0,21,8,26,1610612747,LAL,Los Angeles,50,11,7,0,0,8,7,9
22000854,0,1610612742,DAL,Dallas,42,14,9,6,12,10,0,9,11,10,1610612752,NYK,New York,38,12,8,12,1,10,7,13
