Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional,Temporada,full_name,id
364.0,Jericho Sims,23.0,NYK,PF,41.0,5.0,555.0,11.6,0.674,0.0,0.537,11.6,21.3,16.4,5.3,1.0,3.9,23.1,6.9,0.7,0.8,1.5,0.128,-2.8,1.1,-1.7,0.0,,simsje01,2021,Jericho Sims,1630579.0
372.0,Josh Okogie,23.0,MIN,SG,49.0,6.0,516.0,9.0,0.526,0.452,0.49,5.9,8.7,7.3,6.2,2.4,2.2,15.4,12.1,0.1,0.5,0.7,0.062,-3.7,0.9,-2.7,-0.1,,okogijo01,2021,Josh Okogie,1629006.0
379.0,Lindy Waters III,24.0,OKC,SG,25.0,1.0,465.0,13.0,0.562,0.834,0.029,1.3,15.0,8.1,8.1,2.0,1.6,5.8,17.5,0.3,0.5,0.8,0.081,-0.8,-0.8,-1.6,0.1,,waterli01,2021,Lindy Waters III,1630322.0
385.0,Kelan Martin,26.0,BOS,SF,3.0,0.0,6.0,-11.3,0.0,0.333,0.0,18.5,17.6,18.0,0.0,0.0,0.0,0.0,22.0,-0.1,0.0,0.0,-0.382,-14.7,-10.5,-25.1,0.0,,martike03,2021,Kelan Martin,1629103.0
387.0,Juancho Hernangómez,26.0,BOS,PF,18.0,0.0,96.0,3.8,0.307,0.667,0.333,10.4,17.6,14.1,4.0,2.1,1.9,16.2,17.0,-0.3,0.2,-0.1,-0.05,-6.9,-1.4,-8.3,-0.2,,hernaju01,2021,,
393.0,Olivier Sarr,22.0,OKC,C,22.0,2.0,421.0,14.0,0.672,0.287,0.287,8.2,14.6,11.4,6.9,0.7,3.3,16.2,13.9,0.7,0.3,1.0,0.116,-2.7,-1.3,-4.0,-0.2,,sarrol01,2021,Olivier Sarr,1630846.0
394.0,Enes Freedom,29.0,BOS,C,35.0,1.0,411.0,15.0,0.585,0.052,0.289,16.5,25.4,21.0,2.7,0.6,3.1,15.5,13.9,0.6,0.7,1.4,0.16,-1.2,-0.2,-1.4,0.1,,kanteen01,2021,Enes Freedom,202683.0
402.0,Miles McBride,21.0,NYK,PG,40.0,2.0,372.0,6.1,0.393,0.63,0.111,1.1,11.2,6.1,15.9,1.9,0.3,4.2,13.9,-0.1,0.4,0.2,0.032,-5.5,1.0,-4.5,-0.2,,mcbrimi01,2021,Miles McBride,1630540.0
417.0,PJ Dozier,25.0,DEN,SG,18.0,0.0,340.0,8.7,0.463,0.485,0.131,4.8,15.6,10.3,11.3,1.6,1.6,11.0,15.2,-0.1,0.4,0.3,0.038,-3.0,1.0,-2.0,0.0,,doziepj01,2021,,
430.0,Nathan Knight,24.0,MIN,PF,37.0,2.0,267.0,18.7,0.603,0.148,0.682,12.5,21.8,17.1,11.9,1.2,2.9,13.6,20.7,0.6,0.3,1.0,0.171,-0.7,0.1,-0.6,0.1,,knighna01,2021,Nathan Knight,1630233.0
431.0,Michael Porter Jr.,23.0,DEN,SF,9.0,9.0,265.0,7.5,0.416,0.466,0.087,3.9,20.4,12.4,8.9,1.9,0.7,10.1,19.7,-0.5,0.3,-0.2,-0.032,-3.9,0.5,-3.5,-0.1,,portemi01,2021,Michael Porter Jr.,1629008.0
435.0,Leandro Bolmaro,21.0,MIN,SF,35.0,2.0,241.0,5.4,0.419,0.333,0.241,6.9,12.3,9.6,11.0,1.2,0.0,17.9,12.6,-0.1,0.2,0.0,0.004,-5.1,-0.7,-5.8,-0.2,,bolmale01,2021,Leandro Bolmaro,1630195.0
436.0,Jaylen Hoard,22.0,OKC,SF,7.0,5.0,240.0,18.0,0.536,0.278,0.156,12.7,23.5,18.0,11.6,1.2,1.9,7.7,18.7,0.3,0.3,0.6,0.118,1.2,-2.1,-0.9,0.1,,hoardja01,2021,Jaylen Hoard,1629658.0
439.0,Jake Layman,27.0,MIN,SF,34.0,1.0,231.0,9.0,0.5,0.479,0.247,2.7,14.3,8.4,5.3,1.4,2.1,11.0,16.4,-0.1,0.2,0.1,0.024,-3.3,-0.6,-3.9,-0.1,,laymaja01,2021,Jake Layman,1627774.0
441.0,Kevin Knox,22.0,NYK,SF,13.0,0.0,111.0,11.6,0.529,0.7,0.25,7.6,13.8,10.7,4.2,0.9,0.9,10.1,19.5,0.0,0.1,0.1,0.062,0.5,-1.9,-1.4,0.0,,knoxke01,2021,,
