Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional,Temporada,full_name,id
311.0,Luke Kornet,23.0,NYK,C,46.0,18.0,784.0,14.8,0.531,0.682,0.163,3.6,14.6,9.0,10.5,1.7,4.5,7.6,17.9,0.6,0.7,1.4,0.083,1.4,0.7,2.0,0.8,,kornelu01,2018,Luke Kornet,1628436.0
313.0,Lance Thomas,30.0,NYK,PF,46.0,17.0,783.0,6.4,0.482,0.401,0.183,2.7,13.1,7.8,5.0,1.0,0.8,10.1,12.9,-0.3,0.3,0.1,0.004,-4.8,-0.9,-5.7,-0.7,,thomala01,2018,Lance Thomas,202498.0
330.0,Abdel Nader,25.0,OKC,SF,61.0,1.0,694.0,8.8,0.522,0.465,0.167,2.0,15.7,8.6,3.8,1.3,1.5,10.1,15.1,0.0,0.9,0.9,0.062,-3.6,0.3,-3.2,-0.2,,naderab01,2018,Abdel Nader,1627846.0
335.0,Timothé Luwawu-Cabarrot,23.0,2TM,SF,50.0,7.0,669.0,8.0,0.489,0.532,0.188,1.7,14.1,7.8,5.5,1.4,1.0,8.2,16.6,-0.3,0.5,0.2,0.015,-4.1,-1.1,-5.2,-0.5,,luwawti01,2018,,
335.0,Timothé Luwawu-Cabarrot,23.0,OKC,SF,21.0,1.0,123.0,3.4,0.383,0.512,0.14,3.3,12.1,7.6,4.2,1.5,0.7,9.9,16.8,-0.2,0.1,-0.1,-0.033,-7.0,-0.1,-7.1,-0.2,,luwawti01,2018,,
335.0,Timothé Luwawu-Cabarrot,23.0,CHI,SF,29.0,6.0,546.0,9.0,0.515,0.537,0.2,1.4,14.5,7.9,5.8,1.3,1.1,7.8,16.5,0.0,0.3,0.3,0.026,-3.4,-1.3,-4.7,-0.4,,luwawti01,2018,,
337.0,Jerryd Bayless,30.0,MIN,PG,34.0,6.0,657.0,8.5,0.431,0.426,0.122,1.8,8.4,5.0,24.6,1.3,0.3,11.7,17.6,-0.2,0.2,0.0,-0.003,-2.9,-1.7,-4.6,-0.4,,bayleje01,2018,Jerryd Bayless,201573.0
343.0,Isaiah Canaan,27.0,3TM,PG,30.0,16.0,629.0,8.0,0.518,0.585,0.146,1.0,9.2,5.1,18.2,1.1,0.3,16.7,14.2,0.0,0.1,0.1,0.008,-2.7,-1.4,-4.1,-0.3,,canaais01,2018,Isaiah Canaan,203477.0
343.0,Isaiah Canaan,27.0,PHO,PG,19.0,15.0,503.0,7.3,0.515,0.558,0.155,1.1,9.8,5.4,17.0,1.1,0.0,17.4,14.2,-0.1,0.0,-0.1,-0.007,-3.3,-1.4,-4.6,-0.3,,canaais01,2018,Isaiah Canaan,203477.0
343.0,Isaiah Canaan,27.0,MIN,PG,7.0,1.0,95.0,12.3,0.536,0.655,0.138,0.0,5.7,2.8,26.9,1.0,0.9,11.5,15.4,0.1,0.0,0.2,0.079,0.7,-2.0,-1.3,0.0,,canaais01,2018,Isaiah Canaan,203477.0
343.0,Isaiah Canaan,27.0,MIL,PG,4.0,0.0,31.0,5.2,0.5,0.833,0.0,3.5,9.3,6.6,11.6,0.0,2.7,25.0,10.8,0.0,0.0,0.0,0.03,-3.3,-0.7,-4.0,0.0,,canaais01,2018,Isaiah Canaan,203477.0
348.0,Semi Ojeleye,24.0,BOS,PF,56.0,3.0,594.0,8.5,0.531,0.563,0.247,4.3,11.2,7.7,5.1,0.8,0.6,9.8,14.1,0.2,0.5,0.7,0.054,-2.8,-1.2,-4.0,-0.3,,ojelese01,2018,Semi Ojeleye,1628400.0
349.0,Álex Abrines,25.0,OKC,SG,31.0,2.0,588.0,6.3,0.507,0.809,0.083,0.9,7.8,4.2,4.3,1.3,0.9,7.9,12.2,0.1,0.6,0.6,0.053,-3.7,0.4,-3.3,-0.2,,abrinal01,2018,,
